codigo;nombre;ubicacion;;
104;T10108 / 1;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
105;T10014;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
106;VAG1687 / 5;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
107;T10310;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
108;3390;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
109;VAG1687/12;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
110;3393;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
111;VAG1687 / 6;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
112;T10039;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
113;T40001 / 3;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
114;3450;ARMARIO 4, PUERTA 4,  LADO B, MEDIO MEDIO;;
115;3265;ARMARIO 4, PUERTA 1,  LADO B, CENTRO DERECHO;;
116;T10312;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
117;2080 / A;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
118;VAG1687 / 11;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
119;T10055 / 1;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
120;3350;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
121;VW411;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
122;T10219 / 1;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
123;T10071;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
124;T10071 / 3;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
125;VW 195;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
126;3310;ARMARIO 4, PUERTA 1,  LADO B, CENTRO DERECHO;;
127;3285;ARMARIO 4, PUERTA 1,  LADO B, CENTRO DERECHO;;
129;VW521 / 7;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
130;T40039;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
131;T10238;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
132;T10164 / 1;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
133;T30035;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
134;T10122 / 1;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
135;T10146;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
136;10351 / 1;ARMARIO 4, PUERTA 1, LADO B, CENTRO IZQUIERDO;;
137;VW 412;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
138;3350 / 2;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
139;T10122 / 2;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
140;T10122 / 3;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
141;T40001 / 7;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
142;T10055 / 2;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
143;10-203;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
144;T10015 / 1;ARMARIO 4, PUERTA 4,  LADO B, CENTRO DERECHO;;
145;2085;ARMARIO 4, PUERTA 1,  LADO B, CENTRO DERECHO;;
146;3203;ARMARIO 4, PUERTA 1,  LADO B, CENTRO DERECHO;;
147;3240;ARMARIO 4, PUERTA 1,  LADO B, CENTRO IZQUIERDO;;
148;T10352;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR IZQUIERDO;;
149;T10164 / 2;ARMARIO 4, PUERTA 4,  LADO B, CENTRO IZQUIERDO;;
150;T02011;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR DERECHO;;
151;3423;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR DERECHO;;
152;T10159;ARMARIO 4, PUERTA 4,  LADO B, CENTRO INFERIOR ;;
153;T10006;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR DERECHO;;
155;T40070;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR DERECHO;;
156;T10249;ARMARIO 4, PUERTA 4.  LADO B, INFERIOR DERECHO;;
157;3399;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR DERECHO;;
158;2036 / 1;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR DERECHO;;
159;3090;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR DERECHO;;
160;VAG1687 / 13-2;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR IZQUIERDO;;
161;2036;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR DERECHO;;
162;3307;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR IZQUIERDO;;
163;VW541 / 1 A;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR IZQUIERDO;;
164;10-222 A / 7;ARMARIO 4, PUERTA 4,  LADO B, INFERIOR IZQUIERDO;;
165;VW164-1;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
166;VW3192 / 1;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
168;T10163;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
169;VW426 ;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
171;3373;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
172;3289;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
173;3421;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
174;T10173;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
176;T10167;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
177;T10115;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
178;3358;ARMARIO 4, PUERTA 3,  LADO C SUPERIOR DERECHO;;
179;T40069;ARMARIO 4, PUERTA 3,  LADO C SUPERIOR DERECHO;;
180;VAG1755;ARMARIO 4, PUERTA 2,  LADO C, SUPERIOR IZQUIERDO;;
181;T10219 / 2;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
182;3362 / 1;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
183;VW439;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
184;T10055 / 3;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
185;T10053 / 1;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
186;VW541 / 6;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
187;VW541 / 5;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
188;T10096;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
189;3241 / 1;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
190;T40008;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
191;3305;ARMARIO 4, PUERTA 2,  LADO C, SUPERIOR IZQUIERDO;;
192;T10082;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
193;VW160;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
194;VAG1687 / 6;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR CENTRO;;
195;T10039 / 1;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
196;3117;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
197;2068A;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
198;3410;ARMARIO 4, PUERTA 3, LADO C, CENTRO CENTRO.;;
199;T10145;ARMARIO 4, PUERTA 3, LADO C, CENTRO CENTRO.;;
200;VW522;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
201;2597;ARMARIO 4, PUERTA 3,  LADO C, CENTRO CENTRO;;
202;T10385;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
203;40105;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
204;2040;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
205;T10128;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
206;30-555;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
207;T10080;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
208;T10070;ARMARIO 4, PUERTA 3,  LADO C, CENTRO DERECHO;;
209;T10303;ARMARIO 4, PUERTA 3,  LADO C, CENTRO DERECHO;;
210;T10010;ARMARIO 4, PUERTA 3,  LADO C, CENTRO DERECHO;;
211;T10020;ARMARIO 4, PUERTA 3,  LADO C, CENTRO DERECHO;;
212;3002;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
213;6291/2;ARMARIO 4, PUERTA 3, LADO C, CENTRO IZQUIERDO;;
214;VW521;ARMARIO 4, PUERTA 3,  LADO C, CENTRO DERECHO;;
215;VW771;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR IZQUIERDO;;
216;T10081;ARMARIO 4, PUERTA 3,  LADO C, CENTRO IZQUIERDO;;
217;VW066;ARMARIO 4, PUERTA 3,  LADO C, CENTRO DERECHO;;
218;T10053 / 2;ARMARIO 4, PUERTA 3,  LADO C, SUPERIOR DERECHO;;
219;VW510 B/4;ARMARIO 4, PUERTA 3,  LADO C, INFERIOR IZQUIERDO;;
220;T10084 A;ARMARIO 4, PUERTA 3,  LADO C, INFERIOR IZQUIERDO;;
221;3070;ARMARIO 4, PUERTA 3,  LADO C, INFERIOR IZQUIERDO;;
